customer_id,account_id,customer_name,account_type,country,city,account_open_date,current_balance,kyc_status,customer_risk_category,mobile_number,email
CUST_1026,ACC_5026,Kyle Preston,Salary,United States,Bengaluru,2024-10-23,3157766.42,Incomplete,HIGH,608.346.1948,sandra27@example.org
CUST_1027,ACC_5027,Mary Medina,Corporate,Germany,Mumbai,11-11-2024,3005112.0,Expired,LOW,001-918-492-6471x31304,rsanders@example.com
CUST_1028,ACC_5028,Michael White,Savings,India,Bengaluru,2025-10-31,2794623.61,Verified,HIGH,+1-627-755-9668x97435,wflores@example.org
CUST_1029,ACC_5029,Carol Scott,Salary,Germany,Mumbai,20/10/2023,3798615.21,Verified,HIGH,480-914-6647x6687,grimesroger@example.com
CUST_1030,ACC_5030,David Weaver,Current,UAE,Chennai,07-30-2025,843184.57,,HIGH,4164959834,gregory28@example.org
CUST_1031,ACC_5031,Timothy Farmer,Current,U.S.A,Kolkata,01/05/2022,2740642.82,Verified,HIGH,+1-719-521-9230x00893,amber58@example.org
CUST_1032,ACC_5032,Todd Smith,Savings,UAE,Patna,13/06/2025,4551262.17,Incomplete,HIGH,+1-385-234-1413x675,thomassanchez@example.net
CUST_1033,ACC_5033,Gloria York,NRI,Germany,Delhi,04-27-2022,1618944.57,Incomplete,HIGH,8644781277,madisongonzalez@example.net
CUST_1034,ACC_5034,Marc Murray,Current,Singapore,Patna,09-22-2023,2093098.92,Pending,HIGH,(868)932-6763x813,jennifer06@example.org
CUST_1035,ACC_5035,Ann Guzman,Current,UAE,Mumbai,2020-02-06,46318.41,Verified,HIGH,+1-557-623-2159x31577,kellybrown@example.net
CUST_1036,ACC_5036,Frank Munoz,NRI,India,Hyderabad,03-18-2021,2117577.44,Pending,HIGH,793.737.0628x65150,bautistatodd@example.com
CUST_1037,ACC_5037,Victor Harris,Salary,Germany,Delhi,02-11-2025,3837728.58,Incomplete,MEDIUM,748.562.7605x960,toddromero@example.net
CUST_1038,ACC_5038,Sandy Hoffman,NRI,United Kingdom,Hyderabad,2021-10-24,247243.74,Expired,MEDIUM,(760)758-1553x95528,pricepeter@example.com
CUST_1039,ACC_5039,Gregory Hunt,NRI,UAE,Hyderabad,04-08-2024,562143.44,Expired,LOW,(417)390-5802x30268,ksmith@example.com
CUST_1040,ACC_5040,Tim Winters DVM,Salary,Singapore,Hyderabad,12-29-2019,1958048.36,Expired,HIGH,001-257-502-0934x27892,cynthiasnyder@example.com
CUST_1041,ACC_5041,Oscar Wood,Corporate,India,Delhi,07/12/2025,1472743.82,Incomplete,HIGH,567-548-9833x959,nswanson@example.net
CUST_1042,ACC_5042,Danielle Shaffer,NRI,United Kingdom,Patna,18/01/2026,3116706.17,Incomplete,HIGH,(946)454-0089,edwin28@example.org
CUST_1043,ACC_5043,Casey Phillips,Corporate,United Kingdom,Bengaluru,07/07/2023,2101941.74,Verified,LOW,244.622.9060x939,morenonicole@example.com
CUST_1044,ACC_5044,Wanda Gomez,Savings,India,Delhi,2021-06-19,2951132.09,Incomplete,HIGH,001-573-543-7069x61732,julie13@example.com
CUST_1045,ACC_5045,Dr. Carmen Johnson,NRI,U.S.A,Delhi,2024-03-23,902312.72,Pending,LOW,+1-511-465-2024,wsuarez@example.com
CUST_1046,ACC_5046,Ruben Gibson,Corporate,India,Patna,01-11-2020,385845.18,Incomplete,HIGH,553-872-9426x239,ryanreeves@example.com
CUST_1047,ACC_5047,Rebecca Lopez,Corporate,India,Hyderabad,25/10/2023,4807867.8,Pending,MEDIUM,(352)240-1856,gonzaleznathan@example.org
CUST_1048,ACC_5048,Bill Jensen,Current,United States,Bengaluru,02-26-2020,4800602.77,Verified,LOW,001-764-623-2209x083,sfitzgerald@example.com
CUST_1049,ACC_5049,Zachary Ortiz,Salary,India,Chennai,05/09/2023,1253710.05,Expired,MEDIUM,(456)939-5989,erika37@example.org
CUST_1050,ACC_5050,Frank Edwards,Savings,Singapore,,03-17-2025,874756.89,Verified,MEDIUM,(966)712-0520x8488,reynoldscarolyn@example.net
CUST_1051,ACC_5051,Christopher Kennedy,Current,United States,Delhi,26/03/2022,3707350.4,Incomplete,LOW,001-805-684-1814x988,lcontreras@example.net
CUST_1052,ACC_5052,Catherine Rodgers,NRI,Singapore,Bengaluru,15/06/2021,3576968.51,Expired,LOW,242-294-3874,salazartimothy@example.net
CUST_1053,ACC_5053,Corey James,NRI,UAE,Bengaluru,08-18-2022,1411086.59,Expired,LOW,682.352.7340x53218,morrowpaul@example.org
CUST_1054,ACC_5054,Brian Huynh,Corporate,United States,Chennai,11-05-2019,702573.68,Incomplete,HIGH,8326030251,jackbean@example.org
CUST_1055,ACC_5055,Kyle Armstrong,Salary,United Kingdom,Hyderabad,12-27-2021,50337.56,,HIGH,298.852.4266,reynoldsrita@example.net
CUST_1056,ACC_5056,Alexander Delacruz,NRI,Singapore,Delhi,21/09/2024,1940732.56,Incomplete,LOW,(209)907-2753,csingh@example.com
CUST_1057,ACC_5057,Amanda Anderson,NRI,United Kingdom,Patna,20/01/2024,4596374.49,Expired,LOW,(290)479-9760,gomezchristina@example.net
CUST_1058,ACC_5058,Richard Bartlett,Salary,Germany,Mumbai,17/04/2023,3557095.79,Expired,HIGH,857-988-1373,andrew84@example.com
CUST_1059,ACC_5059,Rhonda Rivas,Salary,United States,Chennai,02/12/2025,1157157.84,Expired,LOW,239.588.0469,michael95@example.net
CUST_1060,ACC_5060,Amanda Rodriguez,Savings,United States,Bengaluru,2021-04-19,4340476.34,Pending,HIGH,(778)389-8903,montgomerychristopher@example.org
CUST_1061,ACC_5061,Joseph Frederick,Corporate,UAE,Pune,2020-12-19,2690779.07,Expired,LOW,681.346.8078x212,williambailey@example.com
CUST_1062,ACC_5062,Natalie Huerta,Salary,United Kingdom,Patna,18/07/2022,1104309.97,Verified,MEDIUM,001-602-383-2564x34635,lukerichards@example.com
CUST_1063,ACC_5063,Robyn Wilson,Salary,United States,Pune,2019-11-08,2188552.85,Pending,MEDIUM,591-278-6696x40540,huberstephanie@example.com
CUST_1064,ACC_5064,Christine Chambers,Corporate,UAE,Delhi,2022-01-31,1299583.02,Incomplete,HIGH,448.419.9590,raymond17@example.net
CUST_1065,ACC_5065,Abigail Fields,Current,UAE,Kolkata,2023-11-26,3864241.52,Verified,LOW,+1-735-643-4906x6649,uhickman@example.com
CUST_1066,ACC_5066,Robert Turner,Savings,United Kingdom,Patna,10-07-2023,2544552.9,Pending,LOW,+1-394-492-0455x940,pwright@example.org
CUST_1067,ACC_5067,Cory Davis,Current,United States,Delhi,2019-11-10,3366453.29,,HIGH,437-296-6164x1215,jlewis@example.com
CUST_1068,ACC_5068,Denise Dorsey,Current,Singapore,Delhi,2025-09-26,4366857.99,Verified,MEDIUM,(509)258-4450,jberry@example.org
CUST_1069,ACC_5069,Miss Autumn Gonzalez MD,Savings,Germany,Chennai,06-08-2020,2234178.05,Verified,LOW,(739)614-8971x52975,denniscortez@example.net
CUST_1070,ACC_5070,Christopher Davidson,Salary,India,Hyderabad,05-18-2020,3266688.19,Expired,HIGH,001-824-358-3289,darrell72@example.net
CUST_1071,ACC_5071,Samantha Jones,Current,Singapore,Mumbai,2025-02-14,273886.65,Expired,HIGH,001-947-300-2000x82408,wesley36@example.com
CUST_1072,ACC_5072,Joseph Hanson,NRI,Singapore,Bengaluru,20/10/2022,1823210.58,Incomplete,LOW,(362)545-0035x7754,aliciabryan@example.com
CUST_1073,ACC_5073,Charlotte Lester,Corporate,UAE,Kolkata,06-18-2024,4582002.09,Incomplete,LOW,485.515.5063,bleonard@example.com
CUST_1074,ACC_5074,Richard Davenport,NRI,UAE,Pune,2024-01-01,1388741.32,Expired,HIGH,(336)215-5928x5701,tammy50@example.net
CUST_1075,ACC_5075,Kelly Miller,NRI,United States,Pune,09/10/2019,3348646.37,Expired,HIGH,7439519007,wileybarbara@example.net
CUST_1076,ACC_5076,Mr. Ian Hunter,Salary,Singapore,Bengaluru,2026-04-18,1317950.16,Verified,LOW,+1-415-492-9543,kjohnson@example.org
CUST_1077,ACC_5077,Sandra Douglas,Current,United Kingdom,Bengaluru,09-04-2021,1919925.44,Pending,LOW,001-408-373-5898,joshua61@example.net
CUST_1078,ACC_5078,Mary Brown,NRI,UAE,Kolkata,11-04-2022,1551832.24,Verified,LOW,968-881-5515,cperry@example.org
CUST_1079,ACC_5079,Shawn Allen,Savings,India,Chennai,2024-02-08,1806419.77,Pending,LOW,790.860.2629,dperez@example.net
CUST_1080,ACC_5080,Autumn Holland,NRI,UAE,Delhi,2026-04-14,2055875.29,Verified,HIGH,001-658-345-8308,sandra89@example.com
CUST_1081,ACC_5081,Rebecca Moses,Corporate,United States,Mumbai,08/11/2019,2698625.45,Pending,HIGH,9915632145,kellycruz@example.org
CUST_1082,ACC_5082,Megan Ortiz,NRI,United Kingdom,Hyderabad,10-19-2021,2797784.81,Incomplete,LOW,922.694.3504x6431,haydenrichard@example.com
CUST_1083,ACC_5083,Brandon Ortiz,Savings,India,Bengaluru,04-29-2021,4872935.38,Incomplete,LOW,(387)618-2156x1063,cmoore@example.org
CUST_1084,ACC_5084,Amanda Moore,NRI,UAE,Delhi,2024-06-02,3607153.8,Incomplete,LOW,741.614.1486,leslienelson@example.com
CUST_1085,ACC_5085,Stephen Tate,NRI,Singapore,Hyderabad,04/02/2020,431946.42,Expired,LOW,282.582.9416x37585,veronicareed@example.com
CUST_1086,ACC_5086,Joseph Davies,Savings,India,Hyderabad,22/12/2025,3939867.93,Expired,MEDIUM,423.817.7385,dean41@example.net
CUST_1087,ACC_5087,Michael Lin,Corporate,Germany,,14/09/2022,1059324.47,Expired,HIGH,001-684-569-9543x191,katherinenguyen@example.com
CUST_1088,ACC_5088,Andrew Raymond,Corporate,Germany,Pune,2022-03-31,2748024.81,Incomplete,LOW,001-815-725-0873x55406,stevenellis@example.net
CUST_1089,ACC_5089,Jaime Collier,NRI,Singapore,Bengaluru,01-19-2020,4890126.89,Incomplete,HIGH,(458)812-6211x14416,navarrojohn@example.org
CUST_1090,ACC_5090,Ashley Moss,NRI,United States,Delhi,2022-12-08,1848633.67,Expired,HIGH,(282)521-3475x717,krausescott@example.org
CUST_1091,ACC_5091,Evan Stevens,Salary,United Kingdom,Pune,2022-03-12,4552261.81,Pending,LOW,+1-687-964-9370x96170,tcastillo@example.org
CUST_1092,ACC_5092,Jennifer Thomas,Current,Germany,Mumbai,12-31-2025,2167995.94,Incomplete,LOW,001-632-570-4793x12195,morrisshawn@example.net
CUST_1093,ACC_5093,Robert Long,NRI,UAE,Bengaluru,26/08/2023,3805419.72,Incomplete,HIGH,(657)917-5269,cannonaustin@example.com
CUST_1094,ACC_5094,William Hester,Corporate,India,Kolkata,27/04/2026,3747955.0,Pending,HIGH,+1-643-291-0585x835,carrollheather@example.net
CUST_1095,ACC_5095,Brianna Oneill,NRI,UAE,Chennai,2021-09-01,3679881.86,Pending,MEDIUM,965.858.6582,courtney12@example.org
CUST_1096,ACC_5096,Alexander Miller,Savings,India,Kolkata,02-07-2021,3301365.54,Verified,LOW,530-915-1020x40106,monica25@example.org
CUST_1097,ACC_5097,Jennifer Frederick,Salary,United States,Kolkata,12-23-2021,1475050.23,Verified,MEDIUM,(788)230-9253,jesusescobar@example.com
CUST_1098,ACC_5098,Amanda Smith,Corporate,United States,Kolkata,04-26-2021,1973341.3,Incomplete,MEDIUM,960-789-3618x954,butlerstephanie@example.net
CUST_1099,ACC_5099,Briana Harris DDS,Savings,Singapore,,2021-05-05,2632164.35,Incomplete,MEDIUM,649.515.8726x214,daviesangela@example.com
CUST_1100,ACC_5100,James White,Corporate,United States,Delhi,01-24-2025,3466298.47,Verified,LOW,471.311.2426,jonathanlynch@example.net
CUST_1101,ACC_5101,Christopher Kelly,Savings,Germany,Hyderabad,09-04-2022,1302988.77,Verified,MEDIUM,9199944803,amanda74@example.org
CUST_1102,ACC_5102,Rebecca Hill,Savings,Singapore,Mumbai,12-18-2021,2472337.04,Expired,LOW,482.474.9141x268,dawnjordan@example.com
CUST_1103,ACC_5103,Paula Hunter,Salary,United States,Bengaluru,2022-08-07,552612.11,Expired,MEDIUM,001-420-890-4790x25796,dalecox@example.org
CUST_1104,ACC_5104,Cameron Diaz,Current,Singapore,Kolkata,12/12/2025,4013454.19,Verified,HIGH,214.979.3181x81769,scottchavez@example.com
CUST_1105,ACC_5105,Jessica Barnes,Salary,United States,,2023-03-14,2228442.63,Pending,HIGH,201.352.6343x88935,devinchavez@example.net
CUST_1106,ACC_5106,Thomas Butler,Savings,Singapore,Kolkata,10-25-2020,1593283.47,Incomplete,LOW,917.246.1851x48461,davispaula@example.com
CUST_1107,ACC_5107,Jacqueline Murphy DDS,Savings,Germany,Kolkata,18/03/2022,2467650.4,Incomplete,HIGH,+1-759-393-9867x7989,annette90@example.com
CUST_1108,ACC_5108,Joy Webb,Corporate,Germany,Mumbai,10-07-2022,4136858.89,,LOW,7914866801,qdixon@example.net
CUST_1109,ACC_5109,Michael White,Corporate,Germany,Chennai,2021-02-17,2652589.81,Incomplete,MEDIUM,803-412-2583,ashleebrown@example.net
CUST_1110,ACC_5110,Tracy Lewis,Savings,Germany,Hyderabad,30/05/2024,1413057.6,Verified,LOW,2133970217,dwayne47@example.org
CUST_1111,ACC_5111,David Lyons,Salary,United States,Delhi,26/09/2019,2058471.41,Incomplete,LOW,+1-410-728-3105,psmith@example.net
CUST_1112,ACC_5112,Sean Spencer,Corporate,India,Chennai,12/04/2026,1625215.81,Incomplete,MEDIUM,001-605-350-3796x1640,woodardtanya@example.net
CUST_1113,ACC_5113,Erika Love,NRI,India,Delhi,20/11/2021,2881136.38,Pending,HIGH,(234)807-6382x48858,johnflores@example.com
CUST_1114,ACC_5114,Jake Todd,Corporate,UAE,Pune,16/10/2024,1778307.55,Verified,HIGH,540-834-3487x3578,combsdonna@example.org
CUST_1115,ACC_5115,Emily Miller,NRI,United Kingdom,Kolkata,2024-05-06,2700965.2,Incomplete,LOW,749.695.3717x4550,ehall@example.org
CUST_1116,ACC_5116,Amy Mayer,Salary,United States,Mumbai,04-20-2022,334775.1,Incomplete,HIGH,001-267-883-9895x37237,imartinez@example.org
CUST_1117,ACC_5117,Dr. Jeffrey Johnson,Savings,UAE,Mumbai,2021-08-03,2065350.4,Expired,MEDIUM,(498)667-1362x6537,sandovalgeorge@example.com
CUST_1118,ACC_5118,Alexandra Garcia,NRI,Singapore,Kolkata,23/04/2026,4685710.12,Expired,MEDIUM,721-422-4262x523,esmith@example.net
CUST_1119,ACC_5119,Christine Gonzalez,NRI,United Kingdom,Bengaluru,2020-07-07,1611684.0,Verified,MEDIUM,001-593-257-7086x91606,hbaldwin@example.org
CUST_1120,ACC_5120,John Hartman,Salary,UAE,Kolkata,2019-12-17,1686981.69,Verified,MEDIUM,891.996.5769x91323,josephflynn@example.org
CUST_1121,ACC_5121,Brett Smith PhD,Salary,India,Chennai,31/07/2025,2700775.33,Verified,HIGH,582.216.6663x975,robert27@example.com
CUST_1122,ACC_5122,Nicholas Calderon,Savings,United Kingdom,Pune,12/11/2020,2910202.85,Incomplete,HIGH,665-867-8264,williamsjeremiah@example.net
CUST_1123,ACC_5123,Rita White,Corporate,Singapore,Mumbai,10/11/2023,2119068.9,Pending,HIGH,9609469439,andrewtaylor@example.com
CUST_1124,ACC_5124,Jeffrey Russell,Corporate,United Kingdom,Chennai,2025-09-11,888662.82,Pending,MEDIUM,(453)942-2621x00055,christopher29@example.net
CUST_1125,ACC_5125,Joshua Vargas,NRI,Germany,Patna,04/12/2024,511595.65,Pending,LOW,390.527.6541,katherinejordan@example.com
CUST_1126,ACC_5126,David Hernandez,Current,United States,Patna,2023-10-07,618065.83,Verified,LOW,466.982.7874,ricardo38@example.net
CUST_1127,ACC_5127,David Gentry,Salary,United Kingdom,Mumbai,2025-03-17,642502.9,Pending,HIGH,+1-597-879-9854x699,fmitchell@example.net
CUST_1128,ACC_5128,Lydia Vincent,Savings,United States,Patna,10-04-2020,2670169.75,Pending,HIGH,4268414052,vpotter@example.net
CUST_1129,ACC_5129,Michael Page,NRI,Germany,Chennai,06/02/2020,565134.43,Verified,HIGH,001-339-295-4971x88372,robertmorgan@example.net
CUST_1130,ACC_5130,Sean Nunez,Corporate,Germany,Kolkata,10/08/2019,927225.85,Pending,MEDIUM,773-462-8041x44837,gregorytaylor@example.com
CUST_1131,ACC_5131,David Molina,Salary,Germany,Mumbai,21/04/2024,338485.19,Verified,LOW,001-704-890-3140x65061,wbauer@example.com
CUST_1132,ACC_5132,Stephanie White,Salary,United States,Bengaluru,2019-10-07,458535.58,Pending,MEDIUM,960.805.9623x4851,washingtonsamuel@example.com
CUST_1133,ACC_5133,Nathan Sanchez,NRI,United States,Mumbai,12-23-2022,4870111.88,Pending,HIGH,850-595-9590x201,kyle10@example.com
CUST_1134,ACC_5134,Justin Underwood,NRI,United Kingdom,,2024-01-01,2644911.23,Pending,LOW,293-344-1367x324,andersonmichael@example.com
CUST_1135,ACC_5135,Jonathan Roberts,Savings,Germany,Pune,04-26-2024,975751.59,Expired,HIGH,391-509-3755x736,beckythompson@example.net
CUST_1136,ACC_5136,James Harris,Savings,India,Delhi,01/12/2025,3103460.92,Incomplete,MEDIUM,878.660.5789x115,cruzchristine@example.net
CUST_1137,ACC_5137,Phillip Frazier,NRI,Germany,Patna,2020-05-29,3579478.15,Incomplete,HIGH,550.946.4916x89298,hamiltonian@example.com
CUST_1138,ACC_5138,Steve Rice,Current,United Kingdom,Chennai,2026-04-03,3116551.64,Pending,HIGH,(213)345-8142x40458,christopherpierce@example.org
CUST_1139,ACC_5139,Gina Perez,NRI,India,Hyderabad,2023-09-04,2983893.0,Incomplete,LOW,(944)362-5109x685,sharon88@example.com
CUST_1140,ACC_5140,Tyler Hardy,Current,United States,Kolkata,2020-04-30,1165687.71,Expired,HIGH,+1-885-630-0347,gregoryyoung@example.net
CUST_1141,ACC_5141,Daniel Schmidt,NRI,India,,2026-04-11,4970150.63,Pending,HIGH,(379)394-1003,gutierrezalan@example.org
CUST_1142,ACC_5142,Emily Watson,NRI,India,Hyderabad,2021-11-18,4886354.59,Expired,HIGH,001-298-287-9681,andrea25@example.net
CUST_1143,ACC_5143,Emily Cardenas,Current,Singapore,Bengaluru,21/06/2021,372236.87,Verified,HIGH,001-216-940-4405x297,samantha99@example.org
CUST_1144,ACC_5144,Anthony Ramsey,Salary,United States,Patna,06-19-2023,1738007.26,Expired,HIGH,4266965201,george39@example.com
CUST_1145,ACC_5145,Alejandra Ward,Savings,Singapore,Delhi,05/09/2025,1325706.45,Incomplete,LOW,(616)374-0341x8715,woodskerry@example.net
CUST_1146,ACC_5146,Jennifer Harris,Savings,United States,Mumbai,2021-03-23,4620338.66,Incomplete,LOW,384.545.4615,amybrown@example.com
CUST_1147,ACC_5147,Kimberly Lewis,Corporate,United Kingdom,Pune,21/08/2022,2562152.75,Pending,LOW,001-440-405-0461x962,christophermeza@example.com
CUST_1148,ACC_5148,Mary Villarreal,Corporate,UAE,Kolkata,02-12-2025,2182094.62,Expired,HIGH,+1-593-923-0798x5641,xbarton@example.org
CUST_1149,ACC_5149,Dean Hall,NRI,United Kingdom,Hyderabad,10-19-2022,2802160.55,Pending,HIGH,9289228632,drush@example.net
CUST_1150,ACC_5150,Kelli Robbins,NRI,UAE,Chennai,12-18-2019,4029360.19,Expired,MEDIUM,350.631.3414x749,riveradavid@example.com
CUST_1151,ACC_5151,Sabrina Jacobson,Current,U.S.A,Bengaluru,01-06-2024,856703.28,Incomplete,LOW,587.486.8972x39821,kduncan@example.net
CUST_1152,ACC_5152,Tracy Marsh,Current,India,Kolkata,12-13-2020,3722329.54,Incomplete,MEDIUM,(514)386-0284x886,guzmanjoshua@example.com
CUST_1153,ACC_5153,Debra Nelson,Salary,UAE,Delhi,2025-10-18,1111638.1,Incomplete,LOW,968.670.3170,robertjones@example.org
CUST_1154,ACC_5154,Derrick Jones,Corporate,United Kingdom,Delhi,10-12-2024,1162812.2,Pending,LOW,+1-590-258-2844x80615,vincent41@example.com
CUST_1155,ACC_5155,Joseph Martin,Salary,Singapore,Patna,01-31-2025,4379304.48,Pending,HIGH,+1-918-463-1411,kdean@example.net
CUST_1156,ACC_5156,Eric Klein,Current,United States,Hyderabad,2025-12-15,3809079.2,Expired,MEDIUM,+1-792-340-7878x686,johnpatel@example.org
CUST_1157,ACC_5157,Karen Romero,Savings,United Kingdom,Kolkata,2021-09-07,3321898.76,Pending,HIGH,001-348-498-7984x682,smithpatrick@example.com
CUST_1158,ACC_5158,Brian White,Current,United Kingdom,Kolkata,2024-05-06,3862377.64,Pending,LOW,001-510-455-2572x460,xmartin@example.com
CUST_1159,ACC_5159,Christopher Smith,Current,UAE,Patna,20/06/2024,2103467.11,Expired,LOW,(540)311-1840x18060,keithshelton@example.net
CUST_1160,ACC_5160,Christopher Horne,Savings,India,Patna,2021-07-01,3480905.8,Pending,MEDIUM,001-684-742-1301x7766,hendersonzachary@example.org
CUST_1161,ACC_5161,Kenneth Lopez,Current,India,Mumbai,27/01/2023,3964771.7,Expired,HIGH,880-911-2236,osborntamara@example.com
CUST_1162,ACC_5162,Diane Torres,NRI,India,Kolkata,2024-03-01,2808075.72,Incomplete,LOW,267-768-7406,daniel46@example.com
CUST_1163,ACC_5163,Kimberly Anderson,Corporate,Germany,Mumbai,10-05-2019,4306335.28,Incomplete,HIGH,+1-698-882-9446x011,hollyreed@example.com
CUST_1164,ACC_5164,Charles Davies,Salary,UAE,Delhi,21/04/2020,3899180.29,Incomplete,LOW,792.668.0296x955,kimjohnson@example.com
CUST_1165,ACC_5165,Robyn Parker DVM,Salary,India,Chennai,15/05/2025,3310886.59,Expired,LOW,001-545-300-1580,lcantrell@example.net
CUST_1166,ACC_5166,James Miller,Current,United States,Kolkata,2024-02-05,4320347.06,Incomplete,HIGH,370.750.5861x25317,jporter@example.org
CUST_1167,ACC_5167,Joseph Gutierrez,Savings,UAE,Bengaluru,2023-09-24,332497.46,Incomplete,MEDIUM,+1-528-888-7018x157,derek56@example.org
CUST_1168,ACC_5168,Christopher Stone,Savings,Singapore,Hyderabad,29/12/2020,538326.6,Expired,MEDIUM,9772267061,coxjack@example.org
CUST_1169,ACC_5169,Mr. Larry Lane MD,NRI,United Kingdom,Bengaluru,08-09-2022,4076109.19,Verified,HIGH,8192186253,brandirocha@example.net
CUST_1170,ACC_5170,Emily Rodriguez,Savings,United States,Pune,2025-09-20,943242.48,Pending,MEDIUM,(612)790-5379,coffeysandra@example.org
CUST_1171,ACC_5171,Pamela Spencer,Savings,United Kingdom,Bengaluru,09-01-2020,4336611.08,Verified,HIGH,237.794.5017x697,wendycastro@example.org
CUST_1172,ACC_5172,Christopher Massey,Current,Germany,Hyderabad,08-07-2023,2374084.71,Incomplete,LOW,001-793-256-7784,tdodson@example.org
CUST_1173,ACC_5173,Nicole Murphy,Savings,Germany,Delhi,04-19-2020,4272075.63,Pending,HIGH,457-239-0005x60859,yvargas@example.com
CUST_1174,ACC_5174,Matthew Roman,Corporate,India,,10-08-2024,1321020.22,Verified,HIGH,471.773.5278x9501,jacksonjames@example.org
CUST_1175,ACC_5175,Chad Watkins,Current,Singapore,Mumbai,2020-01-05,4102984.87,Verified,MEDIUM,962.722.8483x41255,victoriaturner@example.net
CUST_1176,ACC_5176,Clinton Ryan,Current,United Kingdom,Mumbai,04-08-2025,790422.34,Verified,MEDIUM,+1-653-609-6996x51386,fwade@example.net
CUST_1177,ACC_5177,Javier Sandoval,Current,United States,Bengaluru,09-16-2023,452785.17,Verified,MEDIUM,(818)961-2543,kshort@example.net
CUST_1178,ACC_5178,Tyler Pearson,Salary,Germany,Chennai,2020-09-25,3905498.78,Incomplete,HIGH,+1-273-759-7250x58887,bwhitehead@example.org
