customer_id,account_id,customer_name,account_type,country,city,account_open_date,current_balance,kyc_status,customer_risk_category,mobile_number,email,normalized_customer_id,normalized_country,kyc_reference_id,document_status,risk_flag,source_of_funds,aml_score,kyc_compliance_risk_score,total_swift_transfers,total_swift_amount,average_swift_amount,high_risk_country_transfers,total_crm_interactions,crm_risk_signal_count,total_audit_events,serious_audit_event_count,final_customer_risk_score,final_customer_risk_level,ai_risk_score,ai_risk_level,ai_risk_reasons,ml_anomaly_prediction,ml_anomaly_status,ml_anomaly_score,rule_based_score,hybrid_risk_score,hybrid_risk_level,hybrid_risk_reasons
CUST_1011,ACC_5011,Veronica Smith,Current,United Kingdom,Unknown,2022-08-09,4818318.57,Incomplete,MEDIUM,737-744-9583,brianna69@example.net,CUST_1011,United Kingdom,KYC_7011,Expired,No Risk Flag,Business Income,0.27,31.75,1.0,91109.32,91109.32,1.0,0.0,0.0,1.0,1.0,46.75,MEDIUM,43.0,MEDIUM,"Customer KYC status is incomplete, missing, or expired | Customer compliance document is missing or expired | Customer has transfers to high-risk countries | Serious audit events found for this customer",1,NORMAL,0.0816,43.0,43.0,MEDIUM,"Customer KYC status is incomplete, missing, or expired | Customer compliance document is missing or expired | Customer has transfers to high-risk countries | Serious audit events found for this customer"
CUST_1012,ACC_5012,Debra Trevino,Corporate,Singapore,Chennai,2025-12-24,175017.68,Incomplete,HIGH,229-208-1568x392,pjackson@example.net,CUST_1012,Singapore,KYC_7012,Under Review,Sanctions Watchlist Match,Investment,0.43,50.75,3.0,1290246.88,430082.2933333333,2.0,1.0,1.0,1.0,1.0,83.75,HIGH,71.0,MEDIUM,"Customer KYC status is incomplete, missing, or expired | Customer has AML/KYC risk flag: Sanctions Watchlist Match | Customer has transfers to high-risk countries | CRM notes contain suspicious customer behavior signals | Serious audit events found for this customer | Customer has high total SWIFT transfer exposure",1,NORMAL,0.0128,71.0,71.0,MEDIUM,"Customer KYC status is incomplete, missing, or expired | Customer has AML/KYC risk flag: Sanctions Watchlist Match | Customer has transfers to high-risk countries | CRM notes contain suspicious customer behavior signals | Serious audit events found for this customer | Customer has high total SWIFT transfer exposure"
CUST_1013,ACC_5013,Rhonda Phillips,Savings,United Kingdom,Kolkata,2024-03-15,3799042.32,Verified,HIGH,(655)299-5039,drakegregory@example.net,CUST_1013,United Kingdom,KYC_7013,Under Review,Sanctions Watchlist Match,Missing,0.14,63.5,1.0,201816.49,201816.49,0.0,0.0,0.0,2.0,1.0,68.5,MEDIUM,40.0,MEDIUM,Customer has AML/KYC risk flag: Sanctions Watchlist Match | Customer source of funds is unclear or cash-heavy | Serious audit events found for this customer,1,NORMAL,0.1354,40.0,40.0,MEDIUM,Customer has AML/KYC risk flag: Sanctions Watchlist Match | Customer source of funds is unclear or cash-heavy | Serious audit events found for this customer
CUST_1014,ACC_5014,Karina Warner,Salary,India,Delhi,07-25-2021,1510638.11,Expired,LOW,+1-213-627-2425,andersondaniel@example.org,CUST_1014,India,KYC_7014,Missing,Sanctions Watchlist Match,Cash Deposits,0.1,77.5,2.0,383231.76,191615.88,1.0,0.0,0.0,1.0,1.0,92.5,HIGH,78.0,HIGH,"Customer KYC status is incomplete, missing, or expired | Customer compliance document is missing or expired | Customer has AML/KYC risk flag: Sanctions Watchlist Match | Customer source of funds is unclear or cash-heavy | Customer has transfers to high-risk countries | Serious audit events found for this customer",1,NORMAL,0.102,78.0,78.0,HIGH,"Customer KYC status is incomplete, missing, or expired | Customer compliance document is missing or expired | Customer has AML/KYC risk flag: Sanctions Watchlist Match | Customer source of funds is unclear or cash-heavy | Customer has transfers to high-risk countries | Serious audit events found for this customer"
CUST_1015,ACC_5015,Jonathan Rice,Salary,United Kingdom,Pune,05/11/2022,2497991.69,Verified,LOW,+1-233-761-3350x7792,jasonhenderson@example.org,CUST_1015,United Kingdom,KYC_7015,Missing,No Risk Flag,Business Income,0.1,27.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.5,LOW,15.0,LOW,Customer compliance document is missing or expired,1,NORMAL,0.0587,15.0,15.0,LOW,Customer compliance document is missing or expired
CUST_1016,ACC_5016,Nicholas Lucas MD,Savings,Singapore,Delhi,2025-03-20,4836272.23,Expired,LOW,+1-547-817-7695x01557,jacobturner@example.net,CUST_1016,Singapore,KYC_7016,Missing,Politically Exposed Person,Unknown,0.73,93.25,1.0,101046.25,101046.25,0.0,1.0,1.0,0.0,0.0,100.0,HIGH,85.0,HIGH,"Customer KYC status is incomplete, missing, or expired | Customer compliance document is missing or expired | Customer has AML/KYC risk flag: Politically Exposed Person | Customer source of funds is unclear or cash-heavy | Customer AML score is high | CRM notes contain suspicious customer behavior signals",1,NORMAL,0.0785,85.0,85.0,HIGH,"Customer KYC status is incomplete, missing, or expired | Customer compliance document is missing or expired | Customer has AML/KYC risk flag: Politically Exposed Person | Customer source of funds is unclear or cash-heavy | Customer AML score is high | CRM notes contain suspicious customer behavior signals"
CUST_1017,ACC_5017,Carol Estes,Salary,Germany,Chennai,18/02/2025,4372412.74,Verified,LOW,953-399-5396,linda11@example.com,CUST_1017,Germany,KYC_7017,Under Review,Politically Exposed Person,Business Income,0.61,55.25,3.0,544901.16,181633.72,0.0,0.0,0.0,0.0,0.0,55.25,MEDIUM,30.0,LOW,Customer has AML/KYC risk flag: Politically Exposed Person | Customer has high total SWIFT transfer exposure,1,NORMAL,0.1194,30.0,30.0,LOW,Customer has AML/KYC risk flag: Politically Exposed Person | Customer has high total SWIFT transfer exposure
CUST_1018,ACC_5018,Austin Moore,Corporate,United States,Chennai,2019-11-24,3238709.29,Verified,LOW,+1-659-395-2584,cwoodward@example.org,CUST_1018,United States,KYC_7018,Expired,Incomplete KYC,Cash Deposits,0.92,98.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,HIGH,80.0,HIGH,Customer compliance document is missing or expired | Customer has AML/KYC risk flag: Incomplete KYC | Customer source of funds is unclear or cash-heavy | Customer AML score is high | Serious audit events found for this customer,-1,ANOMALY,-0.0276,80.0,95.0,HIGH,Customer compliance document is missing or expired | Customer has AML/KYC risk flag: Incomplete KYC | Customer source of funds is unclear or cash-heavy | Customer AML score is high | Serious audit events found for this customer | ML anomaly model detected unusual customer behavior
CUST_1019,ACC_5019,Christopher Fowler,Salary,United Kingdom,Kolkata,2026-01-29,230388.88,Expired,LOW,(794)804-8914,amonroe@example.net,CUST_1019,United Kingdom,KYC_7019,Under Review,Politically Exposed Person,Salary,0.6,55.0,1.0,178850.95,178850.95,0.0,0.0,0.0,2.0,0.0,55.0,MEDIUM,35.0,LOW,"Customer KYC status is incomplete, missing, or expired | Customer has AML/KYC risk flag: Politically Exposed Person",1,NORMAL,0.1415,35.0,35.0,LOW,"Customer KYC status is incomplete, missing, or expired | Customer has AML/KYC risk flag: Politically Exposed Person"
CUST_1020,ACC_5020,Martin Green,NRI,United States,Chennai,22/12/2025,1950972.12,Expired,LOW,001-643-585-2847x0952,valdezkimberly@example.com,CUST_1020,United States,KYC_7020,Expired,Unusual Beneficiary Pattern,Unknown,0.92,98.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,98.0,HIGH,80.0,HIGH,"Customer KYC status is incomplete, missing, or expired | Customer compliance document is missing or expired | Customer has AML/KYC risk flag: Unusual Beneficiary Pattern | Customer source of funds is unclear or cash-heavy | Customer AML score is high",1,NORMAL,0.031,80.0,80.0,HIGH,"Customer KYC status is incomplete, missing, or expired | Customer compliance document is missing or expired | Customer has AML/KYC risk flag: Unusual Beneficiary Pattern | Customer source of funds is unclear or cash-heavy | Customer AML score is high"
CUST_1021,ACC_5021,Alexis Lucas,Salary,United Kingdom,Patna,06-14-2025,4470718.42,Expired,MEDIUM,548.842.5434x133,nhorton@example.org,CUST_1021,United Kingdom,KYC_7021,Verified,High Cash Activity,Business Income,0.27,36.75,2.0,260269.34,130134.67,0.0,0.0,0.0,1.0,0.0,36.75,LOW,35.0,LOW,"Customer KYC status is incomplete, missing, or expired | Customer has AML/KYC risk flag: High Cash Activity",1,NORMAL,0.1171,35.0,35.0,LOW,"Customer KYC status is incomplete, missing, or expired | Customer has AML/KYC risk flag: High Cash Activity"
CUST_1022,ACC_5022,James Williamson,Corporate,United States,Hyderabad,2023-03-21,2713286.14,Pending,HIGH,310.400.2095x3139,johnwilson@example.com,CUST_1022,United States,KYC_7022,Under Review,Unusual Beneficiary Pattern,Business Income,0.16,44.0,3.0,593854.7,197951.56666666665,0.0,0.0,0.0,2.0,1.0,49.0,MEDIUM,35.0,LOW,Customer has AML/KYC risk flag: Unusual Beneficiary Pattern | Serious audit events found for this customer | Customer has high total SWIFT transfer exposure,1,NORMAL,0.0866,35.0,35.0,LOW,Customer has AML/KYC risk flag: Unusual Beneficiary Pattern | Serious audit events found for this customer | Customer has high total SWIFT transfer exposure
CUST_1023,ACC_5023,Katherine Lewis,Corporate,UAE,Kolkata,2025-11-25,4900769.39,Expired,MEDIUM,(621)918-2757,jensendustin@example.com,CUST_1023,United Arab Emirates,KYC_7023,Missing,High Cash Activity,Unknown,0.3,82.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,97.5,HIGH,80.0,HIGH,"Customer KYC status is incomplete, missing, or expired | Customer compliance document is missing or expired | Customer has AML/KYC risk flag: High Cash Activity | Customer source of funds is unclear or cash-heavy | Serious audit events found for this customer",-1,ANOMALY,-0.0071,80.0,95.0,HIGH,"Customer KYC status is incomplete, missing, or expired | Customer compliance document is missing or expired | Customer has AML/KYC risk flag: High Cash Activity | Customer source of funds is unclear or cash-heavy | Serious audit events found for this customer | ML anomaly model detected unusual customer behavior"
CUST_1024,ACC_5024,Scott Nguyen,Current,Singapore,Bengaluru,2025-09-24,2765578.5,Verified,LOW,(909)926-7475x8912,richardmendoza@example.com,CUST_1024,Singapore,KYC_7024,Verified,High Cash Activity,Salary,0.8,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,50.0,MEDIUM,35.0,LOW,Customer has AML/KYC risk flag: High Cash Activity | Customer AML score is high,1,NORMAL,0.1315,35.0,35.0,LOW,Customer has AML/KYC risk flag: High Cash Activity | Customer AML score is high
CUST_1025,ACC_5025,Joseph Armstrong,Savings,India,Chennai,2025-12-03,869226.73,Incomplete,HIGH,959-619-7019x403,terry08@example.org,CUST_1025,India,KYC_7025,Under Review,Politically Exposed Person,Salary,0.41,50.25,2.0,655846.0800000001,327923.04000000004,2.0,0.0,0.0,1.0,1.0,75.25,HIGH,66.0,MEDIUM,"Customer KYC status is incomplete, missing, or expired | Customer has AML/KYC risk flag: Politically Exposed Person | Customer has transfers to high-risk countries | Serious audit events found for this customer | Customer has high total SWIFT transfer exposure",1,NORMAL,0.0589,66.0,66.0,MEDIUM,"Customer KYC status is incomplete, missing, or expired | Customer has AML/KYC risk flag: Politically Exposed Person | Customer has transfers to high-risk countries | Serious audit events found for this customer | Customer has high total SWIFT transfer exposure"
CUST_1026,ACC_5026,Kyle Preston,Salary,United States,Bengaluru,2024-10-23,3157766.42,Incomplete,HIGH,608.346.1948,sandra27@example.org,CUST_1026,United States,KYC_7026,Under Review,Politically Exposed Person,Cash Deposits,0.41,70.25,4.0,435414.84,108853.71,0.0,1.0,1.0,1.0,0.0,78.25,HIGH,55.0,MEDIUM,"Customer KYC status is incomplete, missing, or expired | Customer has AML/KYC risk flag: Politically Exposed Person | Customer source of funds is unclear or cash-heavy | CRM notes contain suspicious customer behavior signals",1,NORMAL,0.0731,55.0,55.0,MEDIUM,"Customer KYC status is incomplete, missing, or expired | Customer has AML/KYC risk flag: Politically Exposed Person | Customer source of funds is unclear or cash-heavy | CRM notes contain suspicious customer behavior signals"
CUST_1027,ACC_5027,Mary Medina,Corporate,Germany,Mumbai,11-11-2024,3005112.0,Expired,LOW,001-918-492-6471x31304,rsanders@example.com,CUST_1027,Germany,KYC_7027,Missing,Unusual Beneficiary Pattern,Cash Deposits,0.29,82.25,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,90.25,HIGH,70.0,MEDIUM,"Customer KYC status is incomplete, missing, or expired | Customer compliance document is missing or expired | Customer has AML/KYC risk flag: Unusual Beneficiary Pattern | Customer source of funds is unclear or cash-heavy | CRM notes contain suspicious customer behavior signals",1,NORMAL,0.0851,70.0,70.0,MEDIUM,"Customer KYC status is incomplete, missing, or expired | Customer compliance document is missing or expired | Customer has AML/KYC risk flag: Unusual Beneficiary Pattern | Customer source of funds is unclear or cash-heavy | CRM notes contain suspicious customer behavior signals"
CUST_1028,ACC_5028,Michael White,Savings,India,Bengaluru,2025-10-31,2794623.61,Verified,HIGH,+1-627-755-9668x97435,wflores@example.org,CUST_1028,India,KYC_7028,Missing,High Cash Activity,Salary,0.66,71.5,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,89.5,HIGH,50.0,MEDIUM,Customer compliance document is missing or expired | Customer has AML/KYC risk flag: High Cash Activity | CRM notes contain suspicious customer behavior signals | Serious audit events found for this customer,1,NORMAL,0.0859,50.0,50.0,MEDIUM,Customer compliance document is missing or expired | Customer has AML/KYC risk flag: High Cash Activity | CRM notes contain suspicious customer behavior signals | Serious audit events found for this customer
CUST_1029,ACC_5029,Carol Scott,Salary,Germany,Mumbai,20/10/2023,3798615.21,Verified,HIGH,480-914-6647x6687,grimesroger@example.com,CUST_1029,Germany,KYC_7029,Expired,Politically Exposed Person,Investment,0.57,69.25,2.0,634219.72,317109.86,1.0,1.0,1.0,0.0,0.0,87.25,HIGH,58.0,MEDIUM,Customer compliance document is missing or expired | Customer has AML/KYC risk flag: Politically Exposed Person | Customer has transfers to high-risk countries | CRM notes contain suspicious customer behavior signals | Customer has high total SWIFT transfer exposure,1,NORMAL,0.0927,58.0,58.0,MEDIUM,Customer compliance document is missing or expired | Customer has AML/KYC risk flag: Politically Exposed Person | Customer has transfers to high-risk countries | CRM notes contain suspicious customer behavior signals | Customer has high total SWIFT transfer exposure
CUST_1030,ACC_5030,David Weaver,Current,UAE,Chennai,07-30-2025,843184.57,Missing,HIGH,4164959834,gregory28@example.org,CUST_1030,United Arab Emirates,KYC_7030,Expired,High Cash Activity,Salary,0.79,74.75,1.0,201614.93,201614.93,0.0,0.0,0.0,1.0,0.0,74.75,MEDIUM,65.0,MEDIUM,"Customer KYC status is incomplete, missing, or expired | Customer compliance document is missing or expired | Customer has AML/KYC risk flag: High Cash Activity | Customer AML score is high",1,NORMAL,0.1427,65.0,65.0,MEDIUM,"Customer KYC status is incomplete, missing, or expired | Customer compliance document is missing or expired | Customer has AML/KYC risk flag: High Cash Activity | Customer AML score is high"
CUST_1031,ACC_5031,Timothy Farmer,Current,U.S.A,Kolkata,01/05/2022,2740642.82,Verified,HIGH,+1-719-521-9230x00893,amber58@example.org,CUST_1031,United States,KYC_7031,Verified,Unusual Beneficiary Pattern,Unknown,0.75,68.75,2.0,348831.66000000003,174415.83000000002,1.0,0.0,0.0,1.0,1.0,83.75,HIGH,63.0,MEDIUM,Customer has AML/KYC risk flag: Unusual Beneficiary Pattern | Customer source of funds is unclear or cash-heavy | Customer AML score is high | Customer has transfers to high-risk countries | Serious audit events found for this customer,1,NORMAL,0.1184,63.0,63.0,MEDIUM,Customer has AML/KYC risk flag: Unusual Beneficiary Pattern | Customer source of funds is unclear or cash-heavy | Customer AML score is high | Customer has transfers to high-risk countries | Serious audit events found for this customer
CUST_1032,ACC_5032,Todd Smith,Savings,UAE,Patna,13/06/2025,4551262.17,Incomplete,HIGH,+1-385-234-1413x675,thomassanchez@example.net,CUST_1032,United Arab Emirates,KYC_7032,Expired,High Cash Activity,Investment,0.18,59.5,2.0,205295.42,102647.71,0.0,0.0,0.0,1.0,0.0,59.5,MEDIUM,50.0,MEDIUM,"Customer KYC status is incomplete, missing, or expired | Customer compliance document is missing or expired | Customer has AML/KYC risk flag: High Cash Activity",1,NORMAL,0.1399,50.0,50.0,MEDIUM,"Customer KYC status is incomplete, missing, or expired | Customer compliance document is missing or expired | Customer has AML/KYC risk flag: High Cash Activity"
CUST_1033,ACC_5033,Gloria York,NRI,Germany,Delhi,04-27-2022,1618944.57,Incomplete,HIGH,8644781277,madisongonzalez@example.net,CUST_1033,Germany,KYC_7033,Under Review,Sanctions Watchlist Match,Investment,0.11,42.75,1.0,7738.49,7738.49,0.0,2.0,2.0,1.0,0.0,58.75,MEDIUM,45.0,MEDIUM,"Customer KYC status is incomplete, missing, or expired | Customer has AML/KYC risk flag: Sanctions Watchlist Match | CRM notes contain suspicious customer behavior signals",1,NORMAL,0.0272,45.0,45.0,MEDIUM,"Customer KYC status is incomplete, missing, or expired | Customer has AML/KYC risk flag: Sanctions Watchlist Match | CRM notes contain suspicious customer behavior signals"
CUST_1034,ACC_5034,Marc Murray,Current,Singapore,Patna,09-22-2023,2093098.92,Pending,HIGH,(868)932-6763x813,jennifer06@example.org,CUST_1034,Singapore,KYC_7034,Verified,Offshore Entity Link,Investment,0.5,42.5,1.0,180402.04,180402.04,0.0,1.0,1.0,2.0,0.0,50.5,MEDIUM,25.0,LOW,Customer has AML/KYC risk flag: Offshore Entity Link | CRM notes contain suspicious customer behavior signals,1,NORMAL,0.0846,25.0,25.0,LOW,Customer has AML/KYC risk flag: Offshore Entity Link | CRM notes contain suspicious customer behavior signals
CUST_1035,ACC_5035,Ann Guzman,Current,UAE,Mumbai,2020-02-06,46318.41,Verified,HIGH,+1-557-623-2159x31577,kellybrown@example.net,CUST_1035,United Arab Emirates,KYC_7035,Missing,Unusual Beneficiary Pattern,Missing,0.08,77.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,77.0,HIGH,50.0,MEDIUM,Customer compliance document is missing or expired | Customer has AML/KYC risk flag: Unusual Beneficiary Pattern | Customer source of funds is unclear or cash-heavy,1,NORMAL,0.1161,50.0,50.0,MEDIUM,Customer compliance document is missing or expired | Customer has AML/KYC risk flag: Unusual Beneficiary Pattern | Customer source of funds is unclear or cash-heavy
CUST_1036,ACC_5036,Frank Munoz,NRI,India,Hyderabad,03-18-2021,2117577.44,Pending,HIGH,793.737.0628x65150,bautistatodd@example.com,CUST_1036,India,KYC_7036,Missing,Incomplete KYC,Salary,0.48,67.0,1.0,622551.19,622551.19,1.0,1.0,1.0,1.0,0.0,85.0,HIGH,58.0,MEDIUM,Customer compliance document is missing or expired | Customer has AML/KYC risk flag: Incomplete KYC | Customer has transfers to high-risk countries | CRM notes contain suspicious customer behavior signals | Customer has high total SWIFT transfer exposure,1,NORMAL,0.08,58.0,58.0,MEDIUM,Customer compliance document is missing or expired | Customer has AML/KYC risk flag: Incomplete KYC | Customer has transfers to high-risk countries | CRM notes contain suspicious customer behavior signals | Customer has high total SWIFT transfer exposure
CUST_1037,ACC_5037,Victor Harris,Salary,Germany,Delhi,02-11-2025,3837728.58,Incomplete,MEDIUM,748.562.7605x960,toddromero@example.net,CUST_1037,Germany,KYC_7037,Missing,Incomplete KYC,Salary,0.57,69.25,1.0,226777.89,226777.89,0.0,0.0,0.0,0.0,0.0,69.25,MEDIUM,50.0,MEDIUM,"Customer KYC status is incomplete, missing, or expired | Customer compliance document is missing or expired | Customer has AML/KYC risk flag: Incomplete KYC",1,NORMAL,0.1443,50.0,50.0,MEDIUM,"Customer KYC status is incomplete, missing, or expired | Customer compliance document is missing or expired | Customer has AML/KYC risk flag: Incomplete KYC"
CUST_1038,ACC_5038,Sandy Hoffman,NRI,United Kingdom,Hyderabad,2021-10-24,247243.74,Expired,MEDIUM,(760)758-1553x95528,pricepeter@example.com,CUST_1038,United Kingdom,KYC_7038,Under Review,No Risk Flag,Cash Deposits,0.16,34.0,2.0,939695.7,469847.85,1.0,1.0,1.0,4.0,1.0,57.0,MEDIUM,58.0,MEDIUM,"Customer KYC status is incomplete, missing, or expired | Customer source of funds is unclear or cash-heavy | Customer has transfers to high-risk countries | CRM notes contain suspicious customer behavior signals | Serious audit events found for this customer | Customer has high total SWIFT transfer exposure",-1,ANOMALY,-0.0252,58.0,73.0,MEDIUM,"Customer KYC status is incomplete, missing, or expired | Customer source of funds is unclear or cash-heavy | Customer has transfers to high-risk countries | CRM notes contain suspicious customer behavior signals | Serious audit events found for this customer | Customer has high total SWIFT transfer exposure | ML anomaly model detected unusual customer behavior"
